userId,movieId,rating
1,1,4
1,3,4
1,6,4
1,47,5
1,50,5
1,70,3
1,101,5
1,110,4
3,31,0.5
4,21,3
4,32,2
4,45,3
4,47,2
4,52,3
4,58,3
4,106,4
5,1,4
5,21,4
5,34,4
5,36,4
5,39,3
5,50,4
5,58,5
5,110,4
6,2,4
6,3,5
6,4,3
6,5,5
6,6,4
6,7,4
6,8,3
6,10,3
6,11,4
6,13,3
6,15,4
6,16,4
6,17,4
6,19,2
6,21,2
6,22,5
6,24,4
6,25,3
6,26,4
6,27,3
6,31,3
6,32,4
6,34,4
6,36,5
6,41,4
6,43,4
6,45,3
6,46,4
6,47,4
6,50,1
6,54,4
6,60,4
6,61,4
6,62,4
6,65,3
6,66,3
6,76,4
6,79,3
6,86,5
6,87,3
6,88,2
6,89,4
6,92,4
6,93,4
6,95,4
6,100,3
6,102,1
6,104,4
6,105,3
6,110,5
6,112,4
7,1,4.5
7,50,4.5
7,58,3
8,2,4
8,10,2
8,11,4
8,21,4
8,32,3
8,34,5
8,39,3
8,47,4
8,50,5
8,110,3
9,41,3
11,6,5
11,10,3
11,36,4
11,44,2
11,95,3
11,110,5
12,39,4
13,47,5
14,4,3
14,7,3
14,19,1
14,25,4
14,32,4
14,39,3
14,47,5
14,95,5
14,105,3
14,110,5
15,1,2.5
15,44,1
15,47,3.5
16,47,3.5
16,50,4
16,111,4.5
17,1,4.5
17,44,3.5
17,47,4
17,50,4.5
17,110,4.5
17,111,4
18,1,3.5
18,2,3
18,6,4
18,16,4.5
18,32,4
18,34,2.5
18,36,4
18,47,4.5
18,50,5
18,70,3.5
18,104,2.5
18,110,4.5
18,111,4
19,1,4
19,2,3
19,3,3
19,7,2
19,10,2
19,12,1
19,13,3
19,15,2
19,19,2
19,32,4
19,34,4
19,44,3
19,47,3
19,48,1
19,54,2
19,64,2
19,65,2
19,70,2
19,87,2
19,92,2
19,102,1
19,104,2
19,107,2
20,2,3
20,8,1
20,13,4
20,34,4
20,48,5
20,107,3.5
21,1,3.5
21,2,3.5
21,10,5
21,19,2.5
21,38,2.5
21,44,1
21,48,3
22,107,4.5
23,6,4
23,29,4
23,32,3.5
23,50,4
23,58,3
24,6,4.5
24,32,3.5
24,50,4
26,10,3
26,34,3
26,47,4
27,1,3
27,2,4
27,34,5
27,48,4
27,60,3
27,62,5
28,6,3.5
28,16,2.5
28,21,3
28,23,1.5
28,31,2.5
28,32,3.5
28,47,3
28,50,3.5
28,62,3.5
28,95,2
28,110,3.5
29,50,3.5
30,110,5
31,1,5
31,5,3
31,7,4
31,10,4
31,17,3
31,25,2
31,62,4
32,1,3
32,3,3
32,6,3
32,7,4
32,21,4
32,24,3
32,25,4
32,26,4
32,32,4
32,36,4
32,39,3
32,50,5
32,52,3
32,58,5
32,62,3
32,74,4
32,78,4
32,95,3
32,100,4
33,1,3
33,7,1
33,11,2
33,17,4
33,21,4
33,25,3
33,28,5
33,32,3
33,34,3
33,36,5
33,39,5
33,43,2
33,50,5
33,58,4
33,94,4
33,110,5
34,10,5
34,70,3.5
34,110,0.5
35,11,4
35,21,5
35,39,3
35,50,5
35,60,5
35,62,5
36,25,2.5
38,11,5
38,17,3
38,21,3
38,39,3
38,48,3
38,50,5
38,62,3
38,105,3
38,110,5
39,32,3
39,47,3
39,50,5
40,1,5
40,17,5
40,19,2
40,21,4
40,26,4
40,31,4
40,34,5
40,44,3
40,46,4
40,48,2
40,60,4
40,62,5
40,82,5
40,104,1
40,107,4
40,110,4
40,111,5
41,47,3.5
41,50,3
41,111,2
42,3,4
42,7,3
42,10,5
42,11,5
42,16,5
42,19,2
42,21,4
42,22,5
42,47,4
42,50,5
42,86,4
42,95,3
42,104,4
42,110,4
43,1,5
43,3,5
43,5,5
43,7,5
43,8,5
43,10,4
43,11,4
43,23,5
43,29,5
43,34,5
43,47,4
43,48,5
43,57,5
43,60,5
43,79,5
43,95,4
43,102,5
43,107,5
43,110,3
44,1,3
44,3,3
44,6,3
44,12,1
44,18,4
44,36,4
44,65,3
44,66,3
44,94,4
44,95,4
44,104,4
44,112,5
45,1,4
45,5,3
45,6,4
45,7,3
45,11,3
45,19,4.5
45,21,4
45,32,4.5
45,39,3
45,50,5
45,62,4
45,65,3
45,69,3
45,70,4
45,88,4
45,104,5
45,107,4
45,110,5
45,112,4
46,1,5
46,10,3
46,32,4
46,39,3
46,50,5
46,110,5
46,111,4
47,31,3
47,47,3
47,62,3
48,48,4
49,110,4
50,1,3
50,32,3
50,111,4
51,2,4.5
51,3,4
51,7,4
51,36,3
51,65,3.5
51,70,5
51,76,5
51,93,3
51,111,5
54,1,3
54,17,3
54,21,3
54,32,3
54,47,3
54,50,3
54,110,3
56,10,4
56,11,4
56,19,5
56,39,4
56,47,5
56,69,4
56,110,4
57,1,5
57,6,3
57,10,3
57,11,3
57,21,3
57,32,4
57,39,3
57,50,5
57,52,3
57,65,1
57,69,4
57,70,1
57,89,2
57,95,3
57,104,2
57,107,3
57,110,4
57,112,4
58,3,3
58,5,4
58,7,5
58,19,1
